Name                Version     License                                           
PyYAML              6.0.1       MIT License                                       
beautifulsoup4      4.12.3      MIT License                                       
cached-property     1.5.2       BSD License                                       
certifi             2023.11.17  Mozilla Public License 2.0 (MPL 2.0)              
charset-normalizer  3.3.2       MIT License                                       
chevron             0.14.0      MIT License                                       
click               8.1.7       BSD License                                       
frozendict          2.4.0       GNU Lesser General Public License v3 (LGPLv3)     
genanki             0.13.1      MIT                                               
idna                3.6         BSD License                                       
joblib              1.3.2       BSD License                                       
nltk                3.8.1       Apache Software License                           
regex               2023.12.25  Apache Software License                           
requests            2.31.0      Apache Software License                           
six                 1.16.0      MIT License                                       
soupsieve           2.5         MIT License                                       
tqdm                4.66.1      MIT License; Mozilla Public License 2.0 (MPL 2.0) 
urllib3             2.1.0       MIT License                                       
user_agent          0.1.10      MIT License                                       
wrpy                0.1.1       MIT License                                       
